iter	Passed	Remaining
479	675	731
480	676	729
481	678	728
482	679	727
483	680	725
484	681	724
485	683	722
486	684	720
487	685	718
488	686	717
489	687	715
490	688	713
491	689	711
492	690	709
493	691	708
494	692	706
495	694	705
496	695	704
497	697	702
498	698	701
499	699	699
500	700	697
501	702	696
502	702	694
503	703	692
504	704	691
505	705	689
506	707	687
507	708	686
508	709	684
509	710	682
510	711	681
511	712	679
512	713	677
513	714	675
514	715	674
515	716	672
516	717	670
517	718	668
518	719	667
519	720	665
520	722	664
521	724	663
522	726	662
523	727	660
524	728	659
525	729	657
526	730	655
527	731	654
528	732	652
529	733	650
530	735	649
531	736	647
532	737	645
533	738	644
534	740	643
535	741	642
536	743	640
537	744	638
538	745	637
539	746	635
540	747	634
541	748	632
542	749	630
543	750	629
544	751	627
545	753	626
546	755	625
547	757	624
548	758	622
549	759	621
550	760	619
551	761	618
552	762	616
553	763	614
554	764	613
555	765	611
556	767	610
557	768	608
558	770	607
559	771	606
560	772	604
561	774	603
562	775	601
563	776	600
564	777	598
565	778	596
566	779	595
567	780	593
568	781	592
569	783	590
570	784	589
571	785	587
572	786	586
573	787	584
574	788	582
575	789	581
576	790	579
577	791	577
578	792	576
579	793	574
580	794	573
581	795	571
582	797	570
583	798	568
584	799	567
585	800	565
586	801	564
587	803	563
588	804	561
589	806	560
590	807	558
591	808	557
592	809	555
593	810	554
594	812	553
595	813	551
596	815	550
597	816	548
598	817	547
599	818	545
600	819	544
601	820	542
602	821	540
603	822	539
604	823	537
605	825	536
606	826	535
607	827	533
608	828	532
609	829	530
610	830	528
611	831	527
612	833	525
613	834	524
614	835	522
615	836	521
616	837	519
617	838	518
618	839	516
619	840	515
620	841	513
621	843	512
622	844	510
623	845	509
624	846	507
625	847	506
626	848	504
627	849	503
628	850	501
629	851	500
630	852	498
631	853	497
632	855	495
633	856	494
634	857	493
635	859	491
636	860	490
637	861	488
638	862	487
639	863	485
640	864	484
641	865	482
642	866	481
643	867	479
644	870	478
645	871	477
646	873	476
647	874	474
648	875	473
649	876	472
650	877	470
651	878	469
652	879	467
653	880	466
654	881	464
655	882	463
656	884	461
657	885	460
658	887	459
659	888	457
660	889	456
661	890	454
662	891	453
663	892	451
664	893	450
665	894	448
666	895	447
667	896	445
668	897	444
669	899	442
670	900	441
671	902	440
672	903	438
673	904	437
674	905	435
675	906	434
676	907	432
677	908	431
678	909	429
679	910	428
680	911	427
681	912	425
682	913	424
683	914	422
684	915	421
685	916	419
686	918	418
687	919	416
688	920	415
689	921	413
690	921	412
691	922	410
692	924	409
693	925	408
694	926	406
695	927	405
696	929	404
697	930	402
698	931	401
699	932	399
700	933	398
701	934	396
702	935	395
703	936	393
704	937	392
705	939	391
706	940	389
707	941	388
708	943	387
709	945	385
710	946	384
711	947	383
712	948	381
713	949	380
714	950	378
715	951	377
716	952	376
717	954	374
718	955	373
719	957	372
720	958	370
721	959	369
722	960	368
723	961	366
724	962	365
725	963	363
726	964	362
727	966	360
728	967	359
729	968	358
730	969	356
731	971	355
732	973	354
733	975	353
734	976	352
735	977	350
736	979	349
737	980	348
738	981	346
739	982	345
740	984	343
741	985	342
742	986	341
743	987	339
744	988	338
745	989	337
746	990	335
747	992	334
748	993	332
749	994	331
750	995	330
751	996	328
752	998	327
753	1000	326
754	1001	325
755	1003	323
756	1004	322
757	1005	321
758	1006	319
759	1007	318
760	1008	316
761	1009	315
762	1011	314
763	1012	312
764	1013	311
765	1014	309
766	1015	308
767	1017	307
768	1018	305
769	1019	304
770	1020	303
771	1021	301
772	1022	300
773	1023	298
774	1024	297
775	1025	296
776	1027	295
777	1029	293
778	1031	292
779	1032	291
780	1033	289
781	1034	288
782	1035	287
783	1036	285
784	1037	284
785	1039	282
786	1040	281
787	1041	280
788	1042	278
789	1043	277
790	1045	276
791	1046	274
792	1047	273
793	1048	272
794	1049	270
795	1050	269
796	1052	267
797	1053	266
798	1054	265
799	1055	263
800	1056	262
801	1058	261
802	1060	260
803	1061	258
804	1062	257
805	1063	256
806	1064	254
807	1066	253
808	1067	251
809	1068	250
810	1069	249
811	1070	247
812	1072	246
813	1073	245
814	1074	243
815	1076	242
816	1077	241
817	1078	239
818	1079	238
819	1080	237
820	1081	235
821	1082	234
822	1083	233
823	1084	231
824	1085	230
825	1087	229
826	1089	227
827	1090	226
828	1092	225
829	1093	224
830	1094	222
831	1096	221
832	1097	219
833	1098	218
834	1099	217
835	1100	215
836	1101	214
837	1102	213
838	1103	211
839	1104	210
840	1105	209
841	1106	207
842	1108	206
843	1109	204
844	1110	203
845	1111	202
846	1112	200
847	1113	199
848	1114	198
849	1115	196
850	1116	195
851	1118	194
852	1119	192
853	1120	191
854	1122	190
855	1123	188
856	1124	187
857	1125	186
858	1126	184
859	1127	183
860	1128	182
861	1129	180
862	1130	179
863	1132	178
864	1133	176
865	1134	175
866	1135	174
867	1136	172
868	1137	171
869	1138	170
870	1139	168
871	1140	167
872	1141	166
873	1142	164
874	1143	163
875	1144	162
876	1146	160
877	1147	159
878	1149	158
879	1150	156
880	1152	155
881	1153	154
882	1154	152
883	1155	151
884	1156	150
885	1157	148
886	1158	147
887	1160	146
888	1161	144
889	1162	143
890	1163	142
891	1165	141
892	1166	139
893	1167	138
894	1168	137
895	1169	135
896	1170	134
897	1171	133
898	1172	131
899	1173	130
900	1175	129
901	1176	127
902	1177	126
903	1178	125
904	1179	123
905	1180	122
906	1181	121
907	1182	119
908	1183	118
909	1184	117
910	1185	115
911	1186	114
912	1187	113
913	1189	111
914	1190	110
915	1191	109
916	1192	107
917	1193	106
918	1194	105
919	1196	104
920	1197	102
921	1198	101
922	1199	100
923	1200	98
924	1201	97
925	1203	96
926	1204	94
927	1205	93
928	1207	92
929	1208	90
930	1209	89
931	1210	88
932	1212	87
933	1213	85
934	1214	84
935	1215	83
936	1216	81
937	1218	80
938	1220	79
939	1221	77
940	1223	76
941	1225	75
942	1227	74
943	1228	72
944	1229	71
945	1230	70
946	1231	68
947	1232	67
948	1233	66
949	1235	65
950	1236	63
951	1237	62
952	1238	61
953	1240	59
954	1241	58
955	1242	57
956	1244	55
957	1245	54
958	1246	53
959	1247	51
960	1248	50
961	1249	49
962	1250	48
963	1252	46
964	1253	45
965	1254	44
966	1255	42
967	1257	41
968	1259	40
969	1260	38
970	1261	37
971	1263	36
972	1264	35
973	1265	33
974	1267	32
975	1269	31
976	1271	29
977	1272	28
978	1274	27
979	1275	26
980	1276	24
981	1277	23
982	1279	22
983	1281	20
984	1282	19
985	1283	18
986	1284	16
987	1285	15
988	1287	14
989	1288	13
990	1289	11
991	1290	10
992	1291	9
993	1293	7
994	1295	6
995	1296	5
996	1298	3
997	1299	2
998	1301	1
999	1302	0
